DAYS,CANADA,China,France,Germany,Iran,Italy,Spain,USA,Ontario
1,1277,1406,1126,1040,1501,1128,1073,1281,994
2,1469,2075,1209,1176,2336,1694,1695,1663,1144
3,2088,2877,1784,1457,2922,2036,2277,2179,1355
4,2790,5509,2281,1908,3513,2502,2277,2727,1706
5,3251,6087,2281,2078,4747,3089,5232,3499,1966
6,4042,8141,3661,3675,5823,3858,6391,4632,2392
7,4682,9802,4469,4585,6566,4636,7798,6421,2793
8,5563,11891,4499,5795,7161,5883,9942,7783,3255
9,6267,16630,6633,7272,8042,7375,11748,13677,3630
10,7385,19716,7652,9257,9000,9172,13910,19100,4354
11,8514,23707,9043,12327,10075,10149,17963,25489,4347
12,9547,27440,10871,15320,11364,12462,20410,33276,4726
13,11271,30587,12612,19848,12729,12462,25374,43847,5276
14,12424,34110,14282,22213,13938,17660,28768,53740,5759
15,12965,36814,16018,24873,14991,21157,35136,65778,6237
16,15743,39829,19856,29056,16169,24747,39885,83836,6648
17,16550,42354,22304,32986,17361,27980,49515,101657,7049
18,17859,44386,25233,37323,18407,31506,57786,121748,7470
19,19128,44759,29155,43938,19644,35713,65719,140886,7953
20,20641,59895,32964,50871,20610,41035,73235,161807,
21,22046,66358,37575,57695,21638,47021,80110,188172,
22,23303,68413,40174,62095,23049,53578,87956,213372,
23,24286,70513,44550,66885,24811,59138,95923,243453,
24,25667,72434,52128,71808,27017,63927,104118,275586,
25,27022,74211,56989,77872,29406,69176,112065,308850,
26,,74619,59105,84794,32332,74386,119199,337072,
27,,75077,64338,91159,35408,80589,126168,366667,
28,,75550,89953,96092,38309,86498,131646,396223,
29,,77001,92839,100123,41495,92472,136675,429052,
30,,77022,98010,103374,44605,97689,141942,461437,
31,,77241,109069,107663,47593,101739,148220,496535,
32,,77754,112950,113296,50468,105792,153222,526396,
33,,78166,117749,118181,53183,110574,158273,555313,
34,,78600,124869,122171,55743,115242,163027,580619,
35,,78928,129654,124908,58226,119827,166831,607670,
36,,79356,132591,127854,60500,124632,170099,,
37,,79932,136779,130072,62589,128948,172541,,
38,,80136,130253,131359,64586,132547,,,
39,,80261,,,66220,135586,,,
40,,80386,,,68192,139422,,,
41,,80537,,,70029,143626,,,
42,,80690,,,71686,147577,,,
43,,80770,,,73303,152271,,,
44,,80823,,,74877,156363,,,
45,,80860,,,,159516,,,
46,,80887,,,,162488,,,
47,,80921,,,,,,,
48,,80932,,,,,,,
49,,80945,,,,,,,
50,,80977,,,,,,,
51,,81003,,,,,,,
52,,81033,,,,,,,
53,,81058,,,,,,,
54,,81102,,,,,,,
55,,81156,,,,,,,
56,,81250,,,,,,,
57,,81305,,,,,,,
58,,81435,,,,,,,
59,,81498,,,,,,,
60,,81591,,,,,,,
61,,81661,,,,,,,
62,,81782,,,,,,,
63,,81897,,,,,,,
64,,81999,,,,,,,
65,,82122,,,,,,,
66,,82198,,,,,,,
67,,82279,,,,,,,
68,,82361,,,,,,,
69,,82432,,,,,,,
70,,82511,,,,,,,
71,,82543,,,,,,,
72,,82602,,,,,,,
73,,82665,,,,,,,
74,,82718,,,,,,,
